price,bedrooms,bathrooms,Scaled_size,floors,waterfront,sqft_living,condition,Loc_Budget,Loc_Mid-Range,Loc_Premium
221900.0,3.0,1.0,0.2256306249207758,1.0,0,1180.0,3,0,0,1
538000.0,3.0,2.25,0.5780200278869312,2.0,0,2570.0,3,1,0,0
180000.0,2.0,1.0,0.12168842692356446,1.0,0,770.0,3,0,0,1
604000.0,4.0,3.0,0.42337431867156805,1.0,0,1960.0,5,0,0,1
510000.0,3.0,2.0,0.35238940296615545,1.0,0,1680.0,3,1,0,0
1129575.0,4.0,4.5,1.0,1.0,0,4234.5,3,1,0,0
257500.0,3.0,2.25,0.361262517429332,2.0,0,1715.0,3,0,0,1
291850.0,3.0,1.5,0.19520851818988466,1.0,0,1060.0,3,0,1,0
229500.0,3.0,1.0,0.3777411585752314,1.0,0,1780.0,3,0,0,1
323000.0,3.0,2.5,0.40562808974521486,2.0,0,1890.0,3,0,0,1
662500.0,3.0,2.5,0.829002408416783,1.0,0,3560.0,3,0,0,1
468000.0,2.0,1.0,0.2205602737989606,1.0,0,1160.0,4,0,0,1
310000.0,3.0,1.0,0.2890100139434656,1.5,0,1430.0,4,1,0,0
400000.0,3.0,1.75,0.27379896057802006,1.0,0,1370.0,4,0,0,1
530000.0,5.0,2.0,0.3853466852579541,1.5,0,1810.0,3,0,1,0
650000.0,4.0,3.0,0.6743566992014197,2.0,0,2950.0,3,1,0,0
395000.0,3.0,2.0,0.40562808974521486,2.0,0,1890.0,3,0,1,0
485000.0,4.0,1.0,0.33210799847889466,1.5,0,1600.0,4,0,1,0
189000.0,2.0,1.0,0.230700976042591,1.0,0,1200.0,4,0,1,0
230000.0,3.0,1.0,0.24337685384712893,1.0,0,1250.0,4,0,1,0
385000.0,4.0,1.75,0.33717834960070986,1.0,0,1620.0,4,1,0,0
1129575.0,3.0,2.75,0.6997084548104957,1.0,0,3050.0,3,1,0,0
285000.0,5.0,2.5,0.5019647610597034,2.0,0,2270.0,3,0,1,0
252700.0,2.0,1.5,0.19774369375079226,1.0,0,1070.0,3,0,1,0
329000.0,3.0,2.25,0.5475979211560401,2.0,0,2450.0,4,1,0,0
233000.0,3.0,2.0,0.3599949296488782,1.5,0,1710.0,5,1,0,0
937000.0,3.0,1.75,0.5475979211560401,2.0,0,2450.0,3,1,0,0
667000.0,3.0,1.0,0.28140448726074285,1.5,0,1400.0,5,0,0,1
438000.0,3.0,1.75,0.3118265939916339,1.0,0,1520.0,3,0,0,1
719000.0,4.0,2.5,0.5780200278869312,2.0,0,2570.0,3,0,0,1
580500.0,3.0,2.5,0.5146406388642414,2.0,0,2320.0,3,0,1,0
280000.0,2.0,1.5,0.2281658004816834,3.0,0,1190.0,3,0,0,1
687500.0,4.0,1.75,0.5171758144251489,1.5,0,2330.0,4,0,1,0
535000.0,3.0,1.0,0.20281404487260746,1.5,0,1090.0,4,0,1,0
322500.0,4.0,2.75,0.4487260742806439,1.0,0,2060.0,3,0,0,1
696000.0,3.0,2.5,0.5095702877424262,1.5,0,2300.0,3,0,1,0
550000.0,4.0,1.0,0.34731905184434025,1.0,0,1660.0,1,0,0,1
640000.0,4.0,2.0,0.5247813411078718,2.0,0,2360.0,4,0,0,1
240000.0,4.0,1.0,0.23577132716440613,1.0,0,1220.0,2,1,0,0
605000.0,4.0,2.5,0.5906959056914691,2.0,0,2620.0,3,0,0,1
625000.0,4.0,2.5,0.5780200278869312,2.0,0,2570.0,3,1,0,0
775000.0,4.0,2.25,0.9963239954366842,1.0,0,4220.0,3,0,0,1
861990.0,5.0,2.75,0.8378755228799595,2.0,0,3595.0,3,0,0,1
685000.0,3.0,1.0,0.3245024717961719,2.0,0,1570.0,3,1,0,0
309000.0,3.0,1.0,0.2509823805298517,1.0,0,1280.0,4,1,0,0
488000.0,3.0,2.5,0.7275953859804792,2.0,0,3160.0,3,0,0,1
210490.0,3.0,1.0,0.17746228926353153,1.0,0,990.0,3,0,1,0
785000.0,4.0,2.5,0.5070351121815186,2.0,0,2290.0,4,1,0,0
450000.0,3.0,1.75,0.24337685384712893,1.0,0,1250.0,4,0,1,0
1129575.0,3.0,2.5,0.6244137406515402,1.0,1,2753.0,5,0,1,0
228000.0,3.0,1.0,0.2281658004816834,1.0,0,1190.0,3,0,1,0
345000.0,5.0,2.5,0.7250602104195716,1.0,0,3150.0,4,1,0,0
600000.0,3.0,1.75,0.2839396628216504,1.0,0,1410.0,4,0,1,0
585000.0,2.0,1.75,0.42844466979338325,1.0,0,1980.0,3,1,0,0
920000.0,5.0,2.25,0.6185828368614527,1.5,0,2730.0,3,0,1,0
885000.0,4.0,2.5,0.6439345924705286,2.0,0,2830.0,3,0,0,1
292500.0,4.0,2.5,0.49689440993788825,2.0,0,2250.0,3,0,0,1
301000.0,3.0,2.5,0.5399923944733173,2.0,0,2420.0,3,1,0,0
951000.0,5.0,3.25,0.7504119660286476,2.0,0,3250.0,4,0,0,1
430000.0,4.0,3.0,0.3954873875015845,2.0,0,1850.0,3,0,0,1
650000.0,3.0,2.25,0.47154265432881226,1.0,0,2150.0,4,0,1,0
289000.0,3.0,1.75,0.24591202940803653,1.0,0,1260.0,3,1,0,0
505000.0,3.0,1.75,0.5650906325263025,2.0,0,2519.0,5,0,1,0
549000.0,3.0,1.75,0.3168969451134491,3.0,0,1540.0,3,0,1,0
425000.0,3.0,2.25,0.34731905184434025,1.0,0,1660.0,3,0,1,0
317625.0,3.0,2.75,0.628723539105083,1.5,0,2770.0,5,0,1,0
975000.0,4.0,2.5,0.6160476613005451,2.0,0,2720.0,3,0,1,0
287000.0,4.0,2.5,0.4943592343769806,2.0,0,2240.0,3,0,1,0
204000.0,3.0,1.0,0.17999746482443912,1.0,0,1000.0,4,0,1,0
1129575.0,5.0,2.25,0.7377360882241095,1.0,0,3200.0,3,1,0,0
1040000.0,5.0,3.25,1.0,1.0,0,4234.5,4,0,0,1
325000.0,3.0,2.0,0.24591202940803653,1.0,0,1260.0,4,0,1,0
571000.0,4.0,2.0,0.6236531879832679,1.5,0,2750.0,5,0,1,0
360000.0,4.0,2.5,0.529851692229687,2.0,0,2380.0,3,0,1,0
349000.0,3.0,1.75,0.3802763341361389,1.0,0,1790.0,5,0,1,0
832500.0,4.0,4.0,0.7960451261249842,2.0,0,3430.0,4,0,1,0
380000.0,4.0,1.75,0.3726708074534162,1.0,0,1760.0,3,0,1,0
480000.0,3.0,1.0,0.19013816706806946,1.0,0,1040.0,3,0,0,1
410000.0,3.0,1.0,0.2839396628216504,1.0,0,1410.0,4,0,0,1
720000.0,4.0,2.5,0.8011154772467994,2.0,0,3450.0,3,0,1,0
390000.0,3.0,2.5,0.5222461655469641,2.0,0,2350.0,3,0,0,1
360000.0,4.0,2.5,0.40816326530612246,2.0,0,1900.0,3,1,0,0
355000.0,2.0,1.0,0.43858537203701364,1.0,0,2020.0,3,0,1,0
356000.0,3.0,1.5,0.35238940296615545,1.0,0,1680.0,3,1,0,0
315000.0,3.0,1.0,0.16985676258080873,1.0,0,960.0,3,1,0,0
940000.0,3.0,1.5,0.4690074787679047,2.0,0,2140.0,3,0,1,0
305000.0,5.0,2.25,0.6008366079350995,1.5,0,2660.0,5,0,0,1
461000.0,3.0,3.25,0.628723539105083,2.0,0,2770.0,3,1,0,0
215000.0,2.0,2.25,0.33464317403980226,2.0,0,1610.0,4,0,1,0
335000.0,2.0,1.75,0.18760299150716186,2.0,0,1030.0,3,1,0,0
243500.0,4.0,2.5,0.42844466979338325,2.0,0,1980.0,3,1,0,0
1099880.0,5.0,2.75,0.8188617061731526,2.0,0,3520.0,4,1,0,0
153000.0,3.0,1.0,0.230700976042591,1.0,0,1200.0,3,1,0,0
430000.0,3.0,1.5,0.3270376473570795,1.0,0,1580.0,3,0,0,1
700000.0,3.0,1.5,0.3270376473570795,1.0,0,1580.0,3,1,0,0
905000.0,4.0,2.5,0.7630878438331855,1.0,0,3300.0,3,1,0,0
247500.0,3.0,1.75,0.42337431867156805,1.0,0,1960.0,3,1,0,0
199000.0,4.0,1.5,0.2205602737989606,1.0,0,1160.0,4,0,0,1
314000.0,3.0,1.75,0.3853466852579541,1.0,0,1810.0,5,1,0,0
437500.0,3.0,2.5,0.5146406388642414,2.0,0,2320.0,3,1,0,0
850830.0,3.0,2.5,0.4512612498415516,1.5,0,2070.0,5,0,0,1
555000.0,3.0,2.0,0.42844466979338325,1.5,0,1980.0,4,0,0,1
699950.0,3.0,2.25,0.48168335657244266,2.0,0,2190.0,4,0,0,1
1088000.0,3.0,2.5,0.666751172518697,2.0,0,2920.0,3,1,0,0
290000.0,3.0,1.0,0.23323615160349853,1.0,0,1210.0,3,0,0,1
375000.0,3.0,2.5,0.5197109899860566,1.0,0,2340.0,4,0,0,1
460000.0,3.0,1.0,0.34985422740524785,1.5,0,1670.0,4,1,0,0
188500.0,2.0,1.75,0.24084167828622133,1.0,0,1240.0,4,0,0,1
680000.0,4.0,2.5,0.722525034858664,2.0,0,3140.0,4,1,0,0
470000.0,5.0,1.75,0.4411205475979212,2.0,0,2030.0,4,0,1,0
597750.0,4.0,2.5,0.5121054633033338,2.0,0,2310.0,3,0,0,1
570000.0,3.0,1.75,0.24591202940803653,1.0,0,1260.0,5,0,1,0
272500.0,3.0,1.75,0.3168969451134491,1.0,0,1540.0,4,1,0,0
329950.0,3.0,1.75,0.4537964254024591,1.0,0,2080.0,3,0,0,1
480000.0,4.0,2.5,0.7453416149068324,2.0,0,3230.0,3,1,0,0
740500.0,3.0,3.5,1.0,2.0,0,4234.5,3,0,1,0
