CustomerID,Tenure,MonthlyCharges,SupportTickets,Contract,CustomerFeedback,Churn
CUST-1000,40,35.09,0,One year,Customer support was very helpful and polite.,0
CUST-1001,22,50.26,0,One year,Smooth connection and fair monthly prices.,0
CUST-1002,13,64.71,1,Month-to-month,Excellent coverage and fast streaming experience.,0
CUST-1003,23,58.64,0,One year,"Great service, very happy with internet speed!",0
CUST-1004,53,27.57,2,One year,Easy billing process and fast resolution.,0
CUST-1005,55,53.28,0,Month-to-month,Smooth connection and fair monthly prices.,0
CUST-1006,20,28.58,0,Two year,Customer support was very helpful and polite.,0
CUST-1007,37,30.37,2,One year,Excellent coverage and fast streaming experience.,0
CUST-1008,58,34.54,0,Month-to-month,Excellent coverage and fast streaming experience.,0
CUST-1009,17,36.44,1,Month-to-month,Customer support was very helpful and polite.,0
CUST-1010,2,82.78,5,Month-to-month,"Bad experience, moving to another provider soon.",1
CUST-1011,34,53.65,1,One year,"Love the plan, no complaints at all.",0
CUST-1012,35,44.62,0,Month-to-month,Easy billing process and fast resolution.,0
CUST-1013,36,79.28,0,Month-to-month,Easy billing process and fast resolution.,0
CUST-1014,17,97.01,4,Month-to-month,"Cancel my subscription, worst customer care ever.",1
CUST-1015,9,106.17,2,Month-to-month,Monthly charges are way too expensive for bad service.,1
CUST-1016,34,61.79,0,Two year,Reliable network and good customer care.,0
CUST-1017,1,82.23,7,Month-to-month,"Cancel my subscription, worst customer care ever.",1
CUST-1018,25,52.16,0,Two year,Customer support was very helpful and polite.,0
CUST-1019,24,36.09,2,One year,"Love the plan, no complaints at all.",0
CUST-1020,41,32.66,2,One year,Smooth connection and fair monthly prices.,0
CUST-1021,24,29.23,2,One year,Excellent coverage and fast streaming experience.,0
CUST-1022,13,78.3,6,One year,"Frequent network outages, very disappointed.",1
CUST-1023,31,74.09,2,One year,Easy billing process and fast resolution.,0
CUST-1024,7,105.81,2,Month-to-month,Overpriced plans and slow connection every night.,1
CUST-1025,24,72.34,2,Month-to-month,Smooth connection and fair monthly prices.,0
